,wiki_idx,no_en_entry,en_entry,ar,vocal_forms,wiki_pos,ar_letters,senses,tim_translit,file,gender,plural,root
75,117666,0,unemployment_N,بطالة,بِطَالَة,noun,باء-كسرة | طاء-فتحة | ألف | لام-فتحة | تاء مربوطة,['idleness / unemployment'],biTaAlap,,fem,,بطل
6,20995,1,vat_1_N,قيمة,قِيمَة,noun,قاف-كسرة | ياء | ميم-فتحة | تاء مربوطة,"['value, worth / amount, quantity / price']",qiymap,,fem,قِيَم,قوم
5,117242,1,vat_1_N,ضريبة,ضَرِيبَة,noun,ضاد-فتحة | راء-كسرة | ياء | باء-فتحة | تاء مربوطة,"['tribute, tax, public levy']",Dariybap,,fem,ضَرَائِب,ضرب
28,2406,0,coptic_N,قبطي,قِبْطِيّ,noun,قاف-كسرة | باء-سكون | طاء-كسرة | ياء-شدة,['Copt'],qiboTiy~,,masc,,
40,3625,1,european_union_NP,أوروبي,أُورُوبِّيّ,noun,همزة على الألف-ضمة | واو | راء-ضمة | واو | باء-شدة-كسرة | ياء-شدة,['European'],>uwruwb~iy~,,masc,أُورُوبِّيُّونَ,
46,827,1,head_of_state_N,رئيس,رَئِيس,noun,راء-فتحة | همزة على الياء-كسرة | ياء | سين,"['boss, chief, leader / director / headmaster, principal / chairman / governor / president / manager, superintendent / conductor / captain']",ra}iys,,masc,رُؤَسَاء,رءس
13,13023,1,inequality_N,مساواة,مُسَاوَاة,noun,ميم-ضمة | سين-فتحة | ألف | واو-فتحة | ألف | تاء مربوطة,"['verbal noun of سَاوَى (sāwā) (form III) / equality, equivalence / equal rights / settlement (of a bill)']",musaAwaAp,,fem,,
81,-1,0,yen_2_N,ين,يِن,noun,ياء-كسرة | نون-كسرة,"[""""]",,,,,
19,65,0,arabic_N,عربي,عَرَبِيّ,noun,عين-فتحة | راء-فتحة | باء-كسرة | ياء-شدة,['Arab / Arabic (language)'],Earabiy~,,masc,عَرَب,
56,2554,1,life_expectancy_N,عمر,عُمْر,noun,عين-ضمة | ميم-سكون | راء,"['life as a period of time, length of life, lifespan, lifetime / age']",Eumor,,masc,أَعْمَار,عمر
